popularity,revenue,original_title,director,release_date
24.949134,621752480,Interstellar,Christopher Nolan,2011-05-14
9.363643,825500000,Inception,Christopher Nolan,2010-07-14
8.466668,1001921825,The Dark Knight,Christopher Nolan,2008-07-16
1.111488,113714830,Insomnia,Christopher Nolan,2002-05-24
6.591277,1081041287,The Dark Knight Rises,Christopher Nolan,2012-07-16
0.168542,0,Doodlebug,Christopher Nolan,1997-01-01
5.400826,374218673,Batman Begins,Christopher Nolan,2005-06-14
2.582095,109676311,The Prestige,Christopher Nolan,2006-10-19
3.095625,39723096,Memento,Christopher Nolan,2000-10-11
0.225908,0,Following,Christopher Nolan,1998-09-12
